"Filename","Path","Row","ImageDate","ImageQuality","PercentVisible","ValidationRate","PercentCloudCoverFullImage","PercentCloudCoverValley","CloudMaskedYN","PointsWithData","FalsePositives","FalseNegatives","Satellite","NADIR_OFFNADIR","IMAGE_QUALITY_OLI","IMAGE_QUALITY_TIRS","TIRS_SSM_MODEL","TIRS_SSM_POSITION_STATUS","TIRS_STRAY_LIGHT_CORRECTION_SOURCE"
"L8_p42r35_20130418_water.tif","42","35","2013-04-18","Very Good",97.4,0.985,1.04,0.05,"N",1137,14,14,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20130504_water.tif","42","35","2013-05-04","Very Good",98.72,0.976,2.45,0.17,"N",1137,23,23,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20130520_water.tif","42","35","2013-05-20","Very Good",99.19,0.974,0.57,0.02,"N",1136,25,25,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20130605_water.tif","42","35","2013-06-05","Very Good",99.56,0.979,1.73,0.01,"N",1137,22,22,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20130621_water.tif","42","35","2013-06-21","Very Good",97.47,0.976,0.18,0.33,"N",1137,24,24,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20130707_water.tif","42","35","2013-07-07","Very Good",100,0.982,0.9,0,"N",1139,20,20,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20130723_water.tif","42","35","2013-07-23","Fair",61.18,0.947,19.89,19.17,"Y",360,4,4,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20130808_water.tif","42","35","2013-08-08","Very Good",100,0.983,0.11,0,"N",472,8,8,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20130824_water.tif","42","35","2013-08-24","Good",99.91,0.97,0.16,0,"N",269,8,8,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20130909_water.tif","42","35","2013-09-09","Good",99.02,0.964,0.95,0.02,"N",417,14,14,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20130925_water.tif","42","35","2013-09-25","Good",84.56,0.963,5.86,1.36,"Y",926,13,13,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20131011_water.tif","42","35","2013-10-11","Good",93.22,0.95,1.05,0.28,"N",1128,31,31,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20131027_water.tif","42","35","2013-10-27","Good",94.31,0.96,1,0.13,"N",1137,35,35,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20131112_water.tif","42","35","2013-11-12","Bad",8,0.4,76.92,82.44,"Y",15,9,9,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20131128_water.tif","42","35","2013-11-28","Bad",17.79,0.879,61.65,69.43,"Y",33,1,1,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20131214_water.tif","42","35","2013-12-14","Fair",85.55,0.913,2.52,0.31,"N",1141,29,29,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20131230_water.tif","42","35","2013-12-30","Fair",78.68,0.911,2.21,1.88,"N",1141,25,25,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20140115_water.tif","42","35","2014-01-15","Poor",85.18,0.821,1.38,0.42,"N",1141,21,21,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20140131_water.tif","42","35","2014-01-31","Poor",32.11,0.919,39.36,38.09,"Y",111,1,1,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20140216_water.tif","42","35","2014-02-16","Poor",48.55,0.965,11.58,13.55,"Y",428,4,4,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20140304_water.tif","42","35","2014-03-04","Bad",17.23,0.938,83.02,73.62,"Y",129,8,8,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20140320_water.tif","42","35","2014-03-20","Poor",46.22,0.941,22.85,28.84,"Y",269,11,11,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20140405_water.tif","42","35","2014-04-05","Bad",11.6,0,40.29,45.83,"Y",0,0,0,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20140421_water.tif","42","35","2014-04-21","Bad",23.38,0.989,50.02,64.79,"Y",262,2,2,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20140507_water.tif","42","35","2014-05-07","Good",86.91,0.987,8.86,1.44,"Y",629,6,6,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20140523_water.tif","42","35","2014-05-23","Fair",97.75,0.969,2.4,0.35,"N",382,12,12,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20140608_water.tif","42","35","2014-06-08","Good",99.08,0.981,0.45,0.03,"N",206,4,4,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20140624_water.tif","42","35","2014-06-24","Very Good",99.98,0.986,0.23,0,"N",220,3,3,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20140710_water.tif","42","35","2014-07-10","Good",100,0.966,3.01,0,"N",233,8,8,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20140726_water.tif","42","35","2014-07-26","Poor",88.26,0.894,4.82,4.26,"N",396,37,37,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20140811_water.tif","42","35","2014-08-11","Good",80.94,0.972,8.04,5.29,"Y",426,10,10,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20140827_water.tif","42","35","2014-08-27","Good",100,0.971,0.15,0,"N",244,8,7,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20140912_water.tif","42","35","2014-09-12","Good",99.85,0.959,0.21,0,"N",241,11,10,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20140928_water.tif","42","35","2014-09-28","Fair",72.76,0.938,27.02,11.86,"Y",601,13,13,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20141014_water.tif","42","35","2014-10-14","Good",94.38,0.967,0.47,0.14,"N",829,19,18,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20141030_water.tif","42","35","2014-10-30","Poor",32.31,0.941,38.22,49.24,"Y",427,11,10,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20141115_water.tif","42","35","2014-11-15","Fair",72.58,0.943,17.21,9.42,"Y",559,16,16,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20141201_water.tif","42","35","2014-12-01","Fair",58.17,0.913,28.22,29.42,"Y",449,15,15,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20141217_water.tif","42","35","2014-12-17","Bad",32.46,0.77,66.56,48.61,"Y",148,7,7,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20150102_water.tif","42","35","2015-01-02","Fair",90.18,0.926,1.2,0.15,"N",1136,22,22,"L8","NADIR",9,9,NA,"ESTIMATED",NA
"L8_p42r35_20150118_water.tif","42","35","2015-01-18","Bad",12.1,0.895,65.58,81.09,"Y",19,1,1,"L8","NADIR",9,9,NA,"ESTIMATED",NA
"L8_p42r35_20150203_water.tif","42","35","2015-02-03","Poor",29.9,0.969,56.21,58.11,"Y",227,5,5,"L8","NADIR",9,9,NA,"ESTIMATED",NA
"L8_p42r35_20150219_water.tif","42","35","2015-02-19","Fair",56.32,0.965,35.28,29.46,"Y",539,11,11,"L8","NADIR",9,9,NA,"NOMINAL",NA
"L8_p42r35_20150307_water.tif","42","35","2015-03-07","Good",94.68,0.976,1.1,0.13,"N",1141,17,17,"L8","NADIR",9,9,NA,"NOMINAL",NA
"L8_p42r35_20150323_water.tif","42","35","2015-03-23","Poor",25.07,0.964,22.98,22.34,"Y",249,9,9,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20150408_water.tif","42","35","2015-04-08","Bad",9.49,0.905,26.87,31.43,"Y",21,2,2,"L8","NADIR",9,9,NA,NA,NA
"L8_p42r35_20150424_water.tif","42","35","2015-04-24","Bad",21.36,0.885,49.44,47.05,"Y",156,8,8,"L8","NADIR",9,9,NA,"NOMINAL",NA
"L8_p42r35_20150510_water.tif","42","35","2015-05-10","Good",99.44,0.965,0.72,0.01,"N",542,18,18,"L8","NADIR",9,9,NA,"NOMINAL",NA
"L8_p42r35_20150526_water.tif","42","35","2015-05-26","Very Good",92.54,0.983,1.48,1.25,"N",944,14,14,"L8","NADIR",9,9,NA,"NOMINAL",NA
"L8_p42r35_20150611_water.tif","42","35","2015-06-11","Good",96.13,0.969,3.07,0.07,"N",685,13,13,"L8","NADIR",9,9,NA,"NOMINAL",NA
"L8_p42r35_20150627_water.tif","42","35","2015-06-27","Good",88.21,0.964,5.48,2.34,"Y",138,5,5,"L8","NADIR",9,9,NA,"NOMINAL",NA
"L8_p42r35_20150713_water.tif","42","35","2015-07-13","Very Good",99.32,0.978,0.16,0.03,"N",360,8,8,"L8","NADIR",9,9,NA,"NOMINAL",NA
"L8_p42r35_20150729_water.tif","42","35","2015-07-29","Excellent",99.97,1,0.2,0,"N",206,0,0,"L8","NADIR",9,9,NA,"NOMINAL",NA
"L8_p42r35_20150814_water.tif","42","35","2015-08-14","Very Good",98.66,0.983,0.53,0.02,"N",573,10,10,"L8","NADIR",9,9,NA,"NOMINAL",NA
"L8_p42r35_20150830_water.tif","42","35","2015-08-30","Good",86.91,0.976,1.64,1.96,"N",966,18,18,"L8","NADIR",9,9,NA,"NOMINAL",NA
"L8_p42r35_20150915_water.tif","42","35","2015-09-15","Poor",49.71,0.893,21.16,18.71,"Y",496,4,4,"L8","NADIR",9,9,NA,"NOMINAL",NA
"L8_p42r35_20151001_water.tif","42","35","2015-10-01","Poor",46.1,0.946,24.59,31.2,"Y",516,8,8,"L8","NADIR",9,9,NA,"NOMINAL",NA
"L8_p42r35_20151017_water.tif","42","35","2015-10-17","Fair",56.74,0.948,23.94,13.93,"Y",599,25,25,"L8","NADIR",9,9,NA,"NOMINAL",NA
"L8_p42r35_20151102_water.tif","42","35","2015-11-02","Bad",13.32,0.576,72.96,72.19,"Y",33,3,3,"L8","NADIR",9,9,NA,"ESTIMATED",NA
"L8_p42r35_20151118_water.tif","42","35","2015-11-18","Fair",61.95,0.913,14.89,26.01,"Y",767,23,23,"L8","NADIR",9,9,NA,"ESTIMATED",NA
"L8_p42r35_20151204_water.tif","42","35","2015-12-04","Poor",66.44,0.883,19.67,12.97,"Y",420,12,12,"L8","NADIR",9,9,NA,"ESTIMATED",NA
"L8_p42r35_20151220_water.tif","42","35","2015-12-20","Bad",9.25,1,86.67,87.41,"Y",4,0,0,"L8","NADIR",9,9,NA,"ESTIMATED",NA
"L8_p42r35_20160105_water.tif","42","35","2016-01-05","Bad",9.49,0,74.76,81.67,"Y",0,0,0,"L8","NADIR",9,9,"FINAL","ESTIMATED",NA
"L8_p42r35_20160121_water.tif","42","35","2016-01-21","Bad",15.38,0.946,69.49,76.43,"Y",147,0,0,"L8","NADIR",9,9,"FINAL","ESTIMATED",NA
"L8_p42r35_20160206_water.tif","42","35","2016-02-06","Poor",85.84,0.87,2.21,1.42,"N",1139,12,12,"L8","NADIR",9,9,"FINAL","ESTIMATED",NA
"L8_p42r35_20160309_water.tif","42","35","2016-03-09","Good",86.42,0.982,1.36,1.17,"N",1141,9,9,"L8","NADIR",9,9,"FINAL","ESTIMATED",NA
"L8_p42r35_20160325_water.tif","42","35","2016-03-25","Good",81.16,0.979,6.73,2.32,"Y",730,9,9,"L8","NADIR",9,9,"FINAL","ESTIMATED",NA
"L8_p42r35_20160410_water.tif","42","35","2016-04-10","Bad",7.91,1,66.32,69.05,"Y",3,0,0,"L8","NADIR",9,9,"FINAL","ESTIMATED",NA
"L8_p42r35_20160426_water.tif","42","35","2016-04-26","Fair",70.55,0.965,9.61,13.55,"Y",598,19,19,"L8","NADIR",9,9,"FINAL","ESTIMATED",NA
"L8_p42r35_20160512_water.tif","42","35","2016-05-12","Fair",99.49,0.969,0.83,0.01,"N",321,10,10,"L8","NADIR",9,9,"FINAL","ESTIMATED",NA
"L8_p42r35_20160528_water.tif","42","35","2016-05-28","Poor",44.89,0.911,15.2,28.69,"Y",90,5,5,"L8","NADIR",9,9,"FINAL","ESTIMATED",NA
"L8_p42r35_20160613_water.tif","42","35","2016-06-13","Good",99.57,0.977,2.49,0,"N",348,7,7,"L8","NADIR",9,9,"FINAL","ESTIMATED",NA
"L8_p42r35_20160629_water.tif","42","35","2016-06-29","Excellent",100,0.991,2.35,0,"N",215,2,2,"L8","NADIR",9,9,"FINAL","ESTIMATED",NA
"L8_p42r35_20160715_water.tif","42","35","2016-07-15","Excellent",100,0.995,0.21,0,"N",210,1,1,"L8","NADIR",9,9,"FINAL","ESTIMATED",NA
"L8_p42r35_20160731_water.tif","42","35","2016-07-31","Excellent",100,0.991,0.25,0,"N",225,2,2,"L8","NADIR",9,9,"FINAL","ESTIMATED",NA
"L8_p42r35_20160816_water.tif","42","35","2016-08-16","Good",100,0.986,0.12,0,"N",219,3,3,"L8","NADIR",9,7,"PRELIMINARY","ESTIMATED",NA
"L8_p42r35_20160901_water.tif","42","35","2016-09-01","Good",99.72,0.964,0.13,0,"N",386,14,14,"L8","NADIR",9,9,"FINAL","ESTIMATED",NA
"L8_p42r35_20160917_water.tif","42","35","2016-09-17","Good",99.03,0.966,0.16,0.02,"N",505,17,17,"L8","NADIR",9,7,"PRELIMINARY","ESTIMATED",NA
"L8_p42r35_20161019_water.tif","42","35","2016-10-19","Good",95.06,0.954,0.44,0.12,"N",1139,28,28,"L8","NADIR",9,7,"PRELIMINARY","ESTIMATED",NA
"L8_p42r35_20161104_water.tif","42","35","2016-11-04","Fair",59.32,0.956,9.84,12.7,"Y",774,23,23,"L8","NADIR",9,7,"PRELIMINARY","ESTIMATED",NA
"L8_p42r35_20161120_water.tif","42","35","2016-11-20","Poor",34.49,0.917,41.25,37.24,"Y",206,12,12,"L8","NADIR",9,7,"PRELIMINARY","ESTIMATED",NA
"L8_p42r35_20161206_water.tif","42","35","2016-12-06","Bad",26.52,0.774,79.18,53.94,"Y",155,19,19,"L8","NADIR",9,7,"PRELIMINARY","ESTIMATED",NA
"L8_p42r35_20161222_water.tif","42","35","2016-12-22","Fair",66.04,0.913,17.41,20.32,"Y",572,9,9,"L8","NADIR",9,7,"PRELIMINARY","ESTIMATED",NA
"L8_p42r35_20170123_water.tif","42","35","2017-01-23","Bad",9.65,0,88.9,79.96,"Y",3,0,0,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
"L8_p42r35_20170208_water.tif","42","35","2017-02-08","Bad",14.34,0.85,77.28,75.4,"Y",80,2,2,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
"L8_p42r35_20170224_water.tif","42","35","2017-02-24","Very Good",90.41,0.98,5.7,0.26,"Y",1139,8,8,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
"L8_p42r35_20170312_water.tif","42","35","2017-03-12","Good",75.49,0.982,3.16,2.77,"N",1140,9,9,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
"L8_p42r35_20170328_water.tif","42","35","2017-03-28","Fair",64.26,0.972,7.66,1.33,"Y",496,6,6,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
"L8_p42r35_20170413_water.tif","42","35","2017-04-13","Bad",16.52,0.913,65.59,49.76,"Y",46,4,4,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
"L8_p42r35_20170515_water.tif","42","35","2017-05-15","Poor",34.62,0.95,38.89,17.61,"Y",159,6,6,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
"L8_p42r35_20170531_water.tif","42","35","2017-05-31","Bad",12.89,0,86.11,79.3,"Y",0,0,0,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
"L8_p42r35_20170616_water.tif","42","35","2017-06-16","Very Good",98.16,0.982,1.11,0.01,"N",1139,13,13,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
"L8_p42r35_20170702_water.tif","42","35","2017-07-02","Very Good",98.99,0.989,0.98,0,"N",1139,11,11,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
"L8_p42r35_20170718_water.tif","42","35","2017-07-18","Very Good",97.19,0.987,0.69,0.03,"N",1137,10,10,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
"L8_p42r35_20170803_water.tif","42","35","2017-08-03","Bad",8.67,0,93.15,86.37,"Y",0,0,0,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
"L8_p42r35_20170819_water.tif","42","35","2017-08-19","Good",99.63,0.968,2.48,0,"N",1139,14,14,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
"L8_p42r35_20170904_water.tif","42","35","2017-09-04","Bad",22.44,0.964,45.4,41.7,"Y",165,0,0,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
"L8_p42r35_20170920_water.tif","42","35","2017-09-20","Good",87.86,0.975,0.29,0.08,"N",1139,24,24,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
"L8_p42r35_20171006_water.tif","42","35","2017-10-06","Good",83.09,0.971,1.84,0.08,"N",1141,26,26,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
"L8_p42r35_20171022_water.tif","42","35","2017-10-22","Good",80,0.968,0.21,0.09,"N",1141,26,26,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
"L8_p42r35_20171107_water.tif","42","35","2017-11-07","Good",87.42,0.962,0.82,0.24,"N",1141,32,32,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
"L8_p42r35_20171123_water.tif","42","35","2017-11-23","Fair",62.64,0.964,1.44,0.52,"N",1139,25,25,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
"L8_p42r35_20171209_water.tif","42","35","2017-12-09","Bad",16.28,0.913,28.37,61.87,"Y",149,6,6,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
"L8_p42r35_20171225_water.tif","42","35","2017-12-25","Poor",28.83,0.937,44.56,40.08,"Y",252,2,2,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
"L8_p42r35_20180110_water.tif","42","35","2018-01-10","Bad",13.23,0.86,65.81,61.58,"Y",93,2,2,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
"L8_p42r35_20180126_water.tif","42","35","2018-01-26","Fair",71.81,0.963,6.02,3.92,"Y",802,5,5,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
"L8_p42r35_20180211_water.tif","42","35","2018-02-11","Good",80.9,0.977,1.71,0.37,"N",1139,14,14,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
"L8_p42r35_20180227_water.tif","42","35","2018-02-27","Bad",9.47,1,91.73,81.48,"Y",2,0,0,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
"L8_p42r35_20180315_water.tif","42","35","2018-03-15","Poor",43.68,0.963,27.08,11.48,"Y",301,9,9,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
"L8_p42r35_20180331_water.tif","42","35","2018-03-31","Poor",38.2,0.993,41.17,31.72,"Y",141,1,1,"L8","NADIR",9,9,"ACTUAL","NOMINAL","TIRS"
"L8_p42r35_20180416_water.tif","42","35","2018-04-16","Bad",9.4,1,51.13,36.64,"Y",2,0,0,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
"L8_p42r35_20180502_water.tif","42","35","2018-05-02","Fair",71.48,0.967,14.37,0.61,"Y",637,14,14,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
"L8_p42r35_20180518_water.tif","42","35","2018-05-18","Very Good",92.31,0.984,2.6,0.02,"N",1141,13,13,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
"L8_p42r35_20180603_water.tif","42","35","2018-06-03","Very Good",99.59,0.985,0.94,0,"N",1137,16,16,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
"L8_p42r35_20180619_water.tif","42","35","2018-06-19","Very Good",98.46,0.984,0.53,0,"N",1137,15,15,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
"L8_p42r35_20180705_water.tif","42","35","2018-07-05","Good",81.93,0.981,6.02,4.97,"Y",795,14,14,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
"L8_p42r35_20180721_water.tif","42","35","2018-07-21","Poor",70.12,0.894,5.37,7.23,"Y",716,6,6,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
"L8_p42r35_20180806_water.tif","42","35","2018-08-06","Very Good",98.02,0.982,0.22,0,"N",1137,18,18,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
"L8_p42r35_20180822_water.tif","42","35","2018-08-22","Very Good",96.73,0.975,0.23,0,"N",1137,25,25,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
"L8_p42r35_20180907_water.tif","42","35","2018-09-07","Very Good",98.63,0.974,0.2,0,"N",1137,26,26,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
"L8_p42r35_20180923_water.tif","42","35","2018-09-23","Good",88.55,0.974,0.89,1.03,"N",1137,26,26,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
"L8_p42r35_20181009_water.tif","42","35","2018-10-09","Very Good",90.53,0.978,0.49,0.04,"N",1139,20,20,"L8","NADIR",9,9,"FINAL","ESTIMATED","TIRS"
